"filename", "language", "JSON", "Markdown", "Plain Text (PDF)", "Python", "comment", "blank", "total"
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/academic_search_pct.pdf", "Plain Text (PDF)", 0, 0, 133, 0, 0, 3, 136
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/bc_correleation.pdf", "Plain Text (PDF)", 0, 0, 15, 0, 204, 0, 219
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/bc_innovation_trigger.pdf", "Plain Text (PDF)", 0, 0, 2945, 0, 819, 70, 3834
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/bc_normalised_area.pdf", "Plain Text (PDF)", 0, 0, 244, 0, 0, 2, 246
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/bc_peak.pdf", "Plain Text (PDF)", 0, 0, 3051, 0, 1150, 93, 4294
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/bc_pval.pdf", "Plain Text (PDF)", 0, 0, 185, 0, 36, 4, 225
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/bc_sentiment.pdf", "Plain Text (PDF)", 0, 0, 235, 0, 0, 2, 237
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/bc_sentiment_prob.pdf", "Plain Text (PDF)", 0, 0, 225, 0, 0, 3, 228
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/bc_shift.pdf", "Plain Text (PDF)", 0, 0, 223, 0, 0, 3, 226
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/bc_trough.pdf", "Plain Text (PDF)", 0, 0, 1997, 0, 1812, 60, 3869
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/bc_validation.pdf", "Plain Text (PDF)", 0, 0, 152, 0, 0, 3, 155
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/bc_word_occurrence.pdf", "Plain Text (PDF)", 0, 0, 236, 0, 13, 1, 250
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/bitcoin_price.pdf", "Plain Text (PDF)", 0, 0, 156, 0, 0, 2, 158
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/blochain_5g.pdf", "Plain Text (PDF)", 0, 0, 176, 0, 0, 1, 177
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/blockchain_aca_data.pdf", "Plain Text (PDF)", 0, 0, 290, 0, 0, 1, 291
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/btc_correleation.pdf", "Plain Text (PDF)", 0, 0, 229, 0, 0, 6, 235
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/char_count.pdf", "Plain Text (PDF)", 0, 0, 296, 0, 0, 3, 299
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/compute_cost.pdf", "Plain Text (PDF)", 0, 0, 227, 0, 42, 0, 269
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/compute_power.pdf", "Plain Text (PDF)", 0, 0, 292, 0, 0, 3, 295
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/computerscience_pub.pdf", "Plain Text (PDF)", 0, 0, 186, 0, 0, 3, 189
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/computerscience_pub_pct.pdf", "Plain Text (PDF)", 0, 0, 136, 0, 0, 1, 137
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ens_sentiment.pdf", "Plain Text (PDF)", 0, 0, 229, 0, 0, 2, 231
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ens_sentiment_change.pdf", "Plain Text (PDF)", 0, 0, 238, 0, 0, 2, 240
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ev.pdf", "Plain Text (PDF)", 0, 0, 99, 0, 0, 1, 100
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/five.pdf", "Plain Text (PDF)", 0, 0, 87, 0, 0, 1, 88
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/gartners_hype_cycle.pdf", "Plain Text (PDF)", 0, 0, 95, 0, 0, 4, 99
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/gartners_hype_cycle_5g.pdf", "Plain Text (PDF)", 0, 0, 132, 0, 0, 2, 134
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/gartners_hype_cycle_bc.pdf", "Plain Text (PDF)", 0, 0, 67, 0, 0, 1, 68
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/google_3D.pdf", "Plain Text (PDF)", 0, 0, 8, 0, 110, 0, 118
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/google_5g.pdf", "Plain Text (PDF)", 0, 0, 110, 0, 0, 1, 111
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/google_blockchain.pdf", "Plain Text (PDF)", 0, 0, 105, 0, 0, 1, 106
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/google_covid.pdf", "Plain Text (PDF)", 0, 0, 105, 0, 0, 1, 106
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/google_ev.pdf", "Plain Text (PDF)", 0, 0, 115, 0, 0, 1, 116
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/google_home.pdf", "Plain Text (PDF)", 0, 0, 113, 0, 0, 1, 114
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/google_iphone.pdf", "Plain Text (PDF)", 0, 0, 104, 0, 0, 1, 105
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/google_ml.pdf", "Plain Text (PDF)", 0, 0, 111, 0, 0, 1, 112
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/google_stream.pdf", "Plain Text (PDF)", 0, 0, 117, 0, 0, 1, 118
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/home.pdf", "Plain Text (PDF)", 0, 0, 99, 0, 0, 1, 100
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/hype_component.pdf", "Plain Text (PDF)", 0, 0, 86, 0, 0, 1, 87
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/hype_cycle_components.pdf", "Plain Text (PDF)", 0, 0, 43, 0, 50, 0, 93
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/iphone.pdf", "Plain Text (PDF)", 0, 0, 101, 0, 0, 3, 104
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/linear_reg.pdf", "Plain Text (PDF)", 0, 0, 119, 0, 122, 0, 241
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/linear_reg2.pdf", "Plain Text (PDF)", 0, 0, 116, 0, 122, 0, 238
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/logistic.pdf", "Plain Text (PDF)", 0, 0, 127, 0, 117, 0, 244
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/lr_sentiment.pdf", "Plain Text (PDF)", 0, 0, 234, 0, 0, 3, 237
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/lr_sentiment_change.pdf", "Plain Text (PDF)", 0, 0, 227, 0, 0, 2, 229
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/maturity_component.pdf", "Plain Text (PDF)", 0, 0, 88, 0, 0, 1, 89
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml==BC_normalised_pubs.pdf", "Plain Text (PDF)", 0, 0, 238, 0, 23, 1, 262
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_correleation.pdf", "Plain Text (PDF)", 0, 0, 207, 0, 0, 2, 209
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_data.pdf", "Plain Text (PDF)", 0, 0, 202, 0, 0, 2, 204
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_data_pct.pdf", "Plain Text (PDF)", 0, 0, 138, 0, 0, 1, 139
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_hype_cycle.pdf", "Plain Text (PDF)", 0, 0, 129, 0, 0, 2, 131
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_innovation_trigger.pdf", "Plain Text (PDF)", 0, 0, 2448, 0, 1073, 107, 3628
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_normalised_area.pdf", "Plain Text (PDF)", 0, 0, 245, 0, 0, 2, 247
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_normalised_pubs.pdf", "Plain Text (PDF)", 0, 0, 238, 0, 23, 1, 262
